n_features,features,RandomForest_auc,RandomForest_std,GradientBoosting_auc,GradientBoosting_std,LightGBM_auc,LightGBM_std
1,['Title_mapped_Mr'],0.7759004085543073,0.031977637936320136,0.7759004085543073,0.031977637936320136,0.7759004085543073,0.031977637936320136
2,"['Title_mapped_Mr', 'Pclass_3']",0.8300387781140175,0.030374547600361033,0.8300387781140175,0.030374547600361033,0.8300387781140175,0.030374547600361033
3,"['Title_mapped_Mr', 'Pclass_3', 'Sex_1']",0.8353376491775946,0.02716671755239583,0.8353376491775946,0.02716671755239583,0.8353376491775946,0.02716671755239583
4,"['Title_mapped_Mr', 'Pclass_3', 'Sex_1', 'logFare']",0.8528686131723069,0.03733596260383042,0.8664977914116081,0.03849995690677305,0.8560215101309494,0.04163478280297061
5,"['Title_mapped_Mr', 'Pclass_3', 'Sex_1', 'logFare', 'Age']",0.8458915834127871,0.02823912926100822,0.8513069454232245,0.032009731966946176,0.8519922664861106,0.03069147426272962
6,"['Title_mapped_Mr', 'Pclass_3', 'Sex_1', 'logFare', 'Age', 'Cabin_U']",0.8491927252460769,0.030242144869858344,0.8540423984486912,0.037248681864448276,0.8528230918395078,0.033308140413537
7,"['Title_mapped_Mr', 'Pclass_3', 'Sex_1', 'logFare', 'Age', 'Cabin_U', 'Embarked_S']",0.8516322550631715,0.033494660984228486,0.859391705472417,0.03324647595623133,0.8586744001805562,0.029622104908154413
8,"['Title_mapped_Mr', 'Pclass_3', 'Sex_1', 'logFare', 'Age', 'Cabin_U', 'Embarked_S', 'TicketGroupSize_3']",0.8533503387730474,0.032628528097791897,0.8600967587410816,0.035285161528999444,0.8592572233967584,0.031856631630335835
9,"['Title_mapped_Mr', 'Pclass_3', 'Sex_1', 'logFare', 'Age', 'Cabin_U', 'Embarked_S', 'TicketGroupSize_3', 'Title_mapped_Mrs']",0.853135863882786,0.032197406406864255,0.8599282059076861,0.03555817799293412,0.8598587240392985,0.03183765164247834
10,"['Title_mapped_Mr', 'Pclass_3', 'Sex_1', 'logFare', 'Age', 'Cabin_U', 'Embarked_S', 'TicketGroupSize_3', 'Title_mapped_Mrs', 'Ticket_Unknown']",0.857488533303855,0.03077397112005745,0.8627370559217343,0.034862165958786835,0.860188860792144,0.0314597008014001
