feature,importance
Title_mapped_Mr,0.8269026206302373
Sex_1,0.5535118051228111
Pclass_3,0.5115273773734428
logFare,0.3998895929781365
Age,0.28641554492387816
Cabin_U,0.16864337152648065
Embarked_S,0.15370729980301612
Ticket_Unknown,0.08855324642698867
TicketGroupSize_3,0.0877784572976359
Title_mapped_Mrs,0.047505796443689345
TicketGroupSize_6,0.04227504006430078
Ticket_STONO,0.04157223753697527
Cabin_D,0.04073745414895707
Title_mapped_Officer,0.03361346430706487
Cabin_E,0.03181643827263803
Parch_2,0.029613174668540583
SibSp_1,0.028599151799850904
TicketGroupSize_2,0.027248236285673057
TicketGroupSize_5,0.026817042783763522
Cabin_C,0.025468851842979687
Ticket_SWPP,0.024222058482752655
Pclass_2,0.022263126526748462
Parch_1,0.02196533903343107
TicketGroupSize_4,0.019331285345214316
TicketGroupSize_8,0.01835952865075593
Cabin_B,0.017040686310217622
Ticket_C,0.016775081553326087
Ticket_STONO2,0.012980103145588059
Ticket_LINE,0.01276586940787005
Embarked_Q,0.010727085557493904
TicketGroupSize_7,0.01040485628473144
Ticket_SCPARIS,0.009938903635642786
Ticket_A5,0.009351634953098204
Title_mapped_Miss,0.007796835525550159
Ticket_SOTONOQ,0.007747105211484545
Ticket_PC,0.005667261349270409
SibSp_3,0.005177085965641002
Ticket_WC,0.0049076344611787585
Cabin_G,0.004722227937603841
SibSp_2,0.003061526559030742
SibSp_4,0.0028115077638437356
Title_mapped_Royalty,0.0026135639064625653
Parch_5,0.002280521522965871
Ticket_CA,0.002131729346068521
Ticket_SCParis,0.002032658476305516
Parch_4,0.0009652993364938825
Ticket_FC,0.0009571052004845983
SibSp_8,0.0005178103549001485
Ticket_SOC,0.00038901346681058624
Cabin_F,0.00023721178707841986
Ticket_A4,0.00021055053666570699
Ticket_SOP,0.0002063662988201317
Ticket_FCC,0.00019895281673710944
Ticket_PP,0.00019314358764377875
Parch_6,9.971494519709873e-05
SibSp_5,9.014945487076517e-05
Parch_3,6.663102596788374e-06
TicketGroupSize_11,6.281643623140422e-07
Ticket_AQ4,0.0
Ticket_CASOTON,0.0
Ticket_Fa,0.0
Ticket_SOTONO2,0.0
Ticket_SOPP,0.0
Ticket_SCOW,0.0
Ticket_SCAH,0.0
Ticket_PPP,0.0
Ticket_SC,0.0
Ticket_SCA3,0.0
Ticket_SCA4,0.0
Ticket_LP,0.0
Ticket_AS,0.0
Ticket_AQ3,0.0
Parch_9,0.0
Cabin_T,0.0
Ticket_WEP,0.0
Ticket_SP,0.0
Ticket_STONOQ,0.0
