feature,importance
Title_mapped_Mr,0.9812518509752365
Pclass_3,0.5407114104621709
logFare,0.49044454055214803
Age,0.3485644585567803
Sex_1,0.3431586164335209
Cabin_U,0.24298198151673675
Embarked_S,0.15744756756699116
TicketGroupSize_3,0.11882224006155531
Title_mapped_Mrs,0.08596939871864295
Title_mapped_Miss,0.06616533344613076
TicketGroupSize_4,0.049476908900917355
Cabin_C,0.04425014141288124
TicketGroupSize_2,0.032166020306647516
Title_mapped_Officer,0.027973650022329162
Parch_2,0.024217213799946003
Pclass_2,0.023448202827261577
Parch_1,0.023018261616312582
TicketGroupSize_6,0.02295055353658764
TicketGroupSize_5,0.02187810242032589
Cabin_D,0.01638482062117058
Ticket_CA,0.011174881238003368
SibSp_1,0.0067684607816352205
SibSp_3,0.006483419843671072
Cabin_E,0.005504098071205149
Cabin_B,0.005375098106444925
Embarked_Q,0.002872082621347607
TicketGroupSize_7,0.00089621924395026
Ticket_A5,0.000749623987056756
SibSp_4,0.0
SibSp_5,0.0
SibSp_8,0.0
SibSp_2,0.0
Parch_5,0.0
Parch_6,0.0
Parch_9,0.0
Ticket_A4,0.0
Parch_3,0.0
Ticket_AQ3,0.0
Ticket_AQ4,0.0
Ticket_AS,0.0
Ticket_C,0.0
Ticket_CASOTON,0.0
Ticket_FC,0.0
Ticket_FCC,0.0
Parch_4,0.0
Ticket_SOTONO2,0.0
Ticket_SOPP,0.0
Ticket_SOP,0.0
Ticket_SOC,0.0
Ticket_SCParis,0.0
Ticket_SCPARIS,0.0
Ticket_SCOW,0.0
Ticket_SCAH,0.0
Ticket_SCA4,0.0
Ticket_SCA3,0.0
Ticket_SC,0.0
Ticket_PPP,0.0
Ticket_PP,0.0
Ticket_PC,0.0
Ticket_LP,0.0
Ticket_LINE,0.0
Ticket_Fa,0.0
Cabin_G,0.0
Cabin_F,0.0
Ticket_WEP,0.0
Cabin_T,0.0
Ticket_SWPP,0.0
Ticket_Unknown,0.0
Ticket_WC,0.0
Ticket_STONO2,0.0
Ticket_STONO,0.0
Ticket_SP,0.0
Ticket_SOTONOQ,0.0
Ticket_STONOQ,0.0
Title_mapped_Royalty,0.0
TicketGroupSize_8,0.0
TicketGroupSize_11,0.0
