feature,importance
Title_mapped_Mr,0.16227566444052982
Pclass_3,0.09269393827934982
Sex_1,0.08747275326807165
logFare,0.06232134230579629
Age,0.046615025497691684
Cabin_U,0.032745152181015424
Embarked_S,0.01483748832690701
Ticket_Unknown,0.00926730263772308
TicketGroupSize_3,0.008772582829387636
Title_mapped_Officer,0.007997983593716415
TicketGroupSize_2,0.006167064825205555
Ticket_STONO,0.005914242384417478
SibSp_1,0.004360128570592187
TicketGroupSize_8,0.003833016554926315
Pclass_2,0.0031815403110683383
TicketGroupSize_6,0.002847501068038028
Cabin_C,0.002770416614609674
Embarked_Q,0.0027497436265993976
TicketGroupSize_5,0.0025642275105511696
Cabin_D,0.002322090338695437
TicketGroupSize_7,0.0019521686860022127
Ticket_CA,0.0019441361853006658
Title_mapped_Mrs,0.001568123228592917
Parch_1,0.0014813964285986022
Cabin_E,0.0014589552279855333
TicketGroupSize_4,0.0012246829190668755
Title_mapped_Miss,0.001165301863500255
Ticket_PC,0.0007947700132759847
Ticket_A5,0.0007919190804401275
Cabin_B,0.0007448169530878165
SibSp_3,0.0006440607368405156
Parch_2,0.000459303808666302
Ticket_STONO2,0.00042613365147722696
Ticket_SOTONOQ,0.00035168451132697897
Ticket_LINE,0.00025771973687223495
SibSp_4,0.00021745182968757493
Ticket_C,0.00012859307740215864
Ticket_SCPARIS,0.00010618206944456714
SibSp_2,9.91093305219645e-05
Parch_5,9.280379244419795e-05
Cabin_F,8.162066712940297e-05
Title_mapped_Royalty,7.500143394703177e-05
Ticket_A4,6.106967100834757e-05
Ticket_SOC,5.698134112406222e-05
SibSp_5,4.908766722940025e-05
Cabin_G,3.3533367032701655e-05
Ticket_WC,1.1557627502556013e-05
TicketGroupSize_11,5.724510773888171e-06
SibSp_8,0.0
Ticket_SCAH,0.0
Ticket_SCOW,0.0
Ticket_SCA3,0.0
Ticket_SCParis,0.0
Ticket_SOTONO2,0.0
Ticket_SOPP,0.0
Ticket_SOP,0.0
Ticket_PPP,0.0
Ticket_CASOTON,0.0
Ticket_FC,0.0
Ticket_FCC,0.0
Ticket_Fa,0.0
Parch_3,0.0
Parch_6,0.0
Parch_4,0.0
Ticket_AQ3,0.0
Ticket_AQ4,0.0
Ticket_AS,0.0
Parch_9,0.0
Ticket_SCA4,0.0
Ticket_PP,0.0
Ticket_LP,0.0
Ticket_SC,0.0
Cabin_T,0.0
Ticket_SP,0.0
Ticket_WEP,0.0
Ticket_SWPP,0.0
Ticket_STONOQ,0.0
