,model,cv_method,basic_accuracy,accuracy_mean,accuracy_std,parameters,datasetname
0,KNeighbors_Regression,cross_val_score,0.7222222222222222,0.7228395061728395,0.03868442723935257,None,df_train_final
1,Decision_Tree,cross_val_score,0.7666666666666667,0.7840432098765432,0.04057246391990799,None,df_train_final
2,Random_Forest,cross_val_score,0.7444444444444445,0.821496913580247,0.036112565260370245,None,df_train_final
3,AdaBoost_Classifier,cross_val_score,0.7222222222222222,0.8152469135802469,0.027145741644640804,None,df_train_final
4,SVC_Classifier,cross_val_score,0.6666666666666666,0.6879166666666666,0.037659383514161066,None,df_train_final
5,SGD_Classifier,cross_val_score,0.5888888888888889,0.692962962962963,0.08700964896116797,None,df_train_final
6,Ridge_Classification,cross_val_score,0.7555555555555555,0.827716049382716,0.04061206531448958,None,df_train_final
7,Logistic_Regression,cross_val_score,0.8111111111111111,0.8326851851851853,0.03419488446327591,None,df_train_final
8,LinearSVC,cross_val_score,0.7666666666666667,0.7827314814814815,0.08228378419819611,None,df_train_final
9,GradientBoosting_Classification,cross_val_score,0.7777777777777778,0.8277314814814816,0.04279062757943583,None,df_train_final
10,XGBoost_Classification,cross_val_score,0.7888888888888889,0.8227623456790123,0.0322258472311715,None,df_train_final
11,LightGBM_Classification,cross_val_score,0.8222222222222222,0.8128240740740742,0.0412593517270724,None,df_train_final
0,KNeighbors_Regression,kfold,0.7752808988764045,0.7407490636704119,0.0345373593118207,None,df_train_final
1,Decision_Tree,kfold,0.8764044943820225,0.8058426966292135,0.03478721365036829,None,df_train_final
2,Random_Forest,kfold,0.8876404494382022,0.8227340823970037,0.035392782827789605,None,df_train_final
3,AdaBoost_Classifier,kfold,0.8651685393258427,0.8171161048689137,0.03216617993731083,None,df_train_final
4,SVC_Classifier,kfold,0.7752808988764045,0.6891385767790262,0.051325895170414665,None,df_train_final
5,SGD_Classifier,kfold,0.8539325842696629,0.7106242197253433,0.10575761083522864,None,df_train_final
6,Ridge_Classification,kfold,0.9101123595505618,0.829450686641698,0.036587773254277645,None,df_train_final
7,Logistic_Regression,kfold,0.8764044943820225,0.821585518102372,0.03617056589856349,None,df_train_final
8,LinearSVC,kfold,0.8876404494382022,0.802521847690387,0.05273754031904118,None,df_train_final
9,GradientBoosting_Classification,kfold,0.9213483146067416,0.8283395755305867,0.045509856309151116,None,df_train_final
10,XGBoost_Classification,kfold,0.9213483146067416,0.8115106117353308,0.05038816072265328,None,df_train_final
11,LightGBM_Classification,kfold,0.898876404494382,0.8182521847690387,0.05351172664521517,None,df_train_final
0,KNeighbors_Regression,repeatedkfold,0.8314606741573034,0.7275056179775281,0.04319634733903437,None,df_train_final
