,model,cv_method,basic_accuracy,accuracy_mean,accuracy_std,parameters,datasetname
0,Ridge_Classification,cross_val_score,0.7777777777777778,0.8327006172839505,0.038027863448938104,None,df_train_final
1,XGBoost_Classification,cross_val_score,0.7666666666666667,0.8139969135802468,0.0317461977784459,None,df_train_final
2,LightGBM_Classification,cross_val_score,0.8,0.8315432098765433,0.042567826938435936,None,df_train_final
3,GradientBoosting_Classification,cross_val_score,0.7888888888888889,0.8202160493827162,0.029198982685174298,None,df_train_final
4,Random_Forest,cross_val_score,0.8,0.8190123456790124,0.0343443637640792,None,df_train_final
5,Logistic_Regression,cross_val_score,0.7777777777777778,0.8351851851851853,0.04145315666545631,None,df_train_final
6,Voting_Classifier,cross_val_score,0.7666666666666667,0.8377006172839506,0.038734509492848596,None,df_train_final
0,Ridge_Classification,kfold,0.9101123595505618,0.8305742821473159,0.03680413263923501,None,df_train_final
1,XGBoost_Classification,kfold,0.8876404494382022,0.8092759051186018,0.04218979353276654,None,df_train_final
2,LightGBM_Classification,kfold,0.9101123595505618,0.8193632958801498,0.05325680713097911,None,df_train_final
3,GradientBoosting_Classification,kfold,0.9213483146067416,0.8294756554307116,0.04394139589975096,None,df_train_final
4,Random_Forest,kfold,0.8876404494382022,0.8272284644194757,0.03953965418197318,None,df_train_final
5,Logistic_Regression,kfold,0.898876404494382,0.829450686641698,0.033714543658000876,None,df_train_final
6,Voting_Classifier,kfold,0.898876404494382,0.8272159800249688,0.04876974025665325,None,df_train_final
0,Ridge_Classification,repeatedkfold,0.9213483146067416,0.8302084893882644,0.038662516809729895,None,df_train_final
1,XGBoost_Classification,repeatedkfold,0.898876404494382,0.8165118601747813,0.03804156484585868,None,df_train_final
2,LightGBM_Classification,repeatedkfold,0.9325842696629213,0.8326791510611734,0.04165841397321724,None,df_train_final
3,GradientBoosting_Classification,repeatedkfold,0.9213483146067416,0.8338014981273407,0.039559425099091675,None,df_train_final
4,Random_Forest,repeatedkfold,0.9213483146067416,0.8278439450686639,0.03968726946681612,None,df_train_final
5,Logistic_Regression,repeatedkfold,0.9213483146067416,0.8280749063670411,0.03970304516021516,None,df_train_final
6,Voting_Classifier,repeatedkfold,0.9213483146067416,0.8343570536828964,0.03892812780436493,None,df_train_final
0,Ridge_Classification,stratifiedkfold,0.8651685393258427,0.8293757802746567,0.02568450196860447,None,df_train_final
1,XGBoost_Classification,stratifiedkfold,0.8539325842696629,0.8125343320848939,0.030763088308797683,None,df_train_final
2,LightGBM_Classification,stratifiedkfold,0.8764044943820225,0.8282771535580524,0.02802802176014927,None,df_train_final
3,GradientBoosting_Classification,stratifiedkfold,0.8651685393258427,0.8283021223470662,0.026940504731980223,None,df_train_final
4,Random_Forest,stratifiedkfold,0.8651685393258427,0.8260424469413232,0.0314507742583172,None,df_train_final
5,Logistic_Regression,stratifiedkfold,0.8539325842696629,0.8294007490636703,0.018697543012817362,None,df_train_final
6,Voting_Classifier,stratifiedkfold,0.8876404494382022,0.8361298377028714,0.023731136255600492,None,df_train_final
0,Ridge_Classification,shufflesplit,0.8699551569506726,0.8233183856502242,0.0190464220462738,None,df_train_final
1,XGBoost_Classification,shufflesplit,0.8654708520179372,0.8067264573991031,0.022551194548305203,None,df_train_final
2,LightGBM_Classification,shufflesplit,0.8654708520179372,0.8228699551569507,0.021057142389011466,None,df_train_final
3,GradientBoosting_Classification,shufflesplit,0.8654708520179372,0.8098654708520179,0.024413735585320527,None,df_train_final
4,Random_Forest,shufflesplit,0.8654708520179372,0.8210762331838565,0.02393543703153815,None,df_train_final
5,Logistic_Regression,shufflesplit,0.8565022421524664,0.8201793721973093,0.020593654714269133,None,df_train_final
6,Voting_Classifier,shufflesplit,0.8654708520179372,0.8269058295964126,0.017506028068110423,None,df_train_final
